Symbol,median_volatility,hist_volatility,mean_momentum,mean_volume_norm,environmentScore,socialScore,governanceScore,marketCap,beta,highestControversy,GICS_Sector_encoded,GICS_Sector,Cluster_DBSCAN
AMT,0.018424915669520238,0.25667841633512795,0.997657145974464,2.384574952262373e-05,4.22,3.93,4.47,25.30806656735812,0.861,1,4.796333333333333,Real Estate,Safe
AMZN,0.019302149566529606,0.2777198561459469,1.0148965368346976,1.8606050725315022e-05,8.3,11.05,6.75,28.407010159791533,1.192,3,4.690799999999999,Consumer Discretionary,Risky
ANET,0.026477010457401747,0.47246740432700074,1.0209385206628097,8.26015249610171e-05,4.1,7.54,4.88,25.40973025482633,1.079,1,4.803181818181818,Information Technology,Safe
ANSS,0.016488328090126673,0.2237090331285682,0.9997183083283736,1.8259760485204916e-05,3.61,7.33,3.75,24.074060829457594,1.109,1,4.803181818181818,Information Technology,Safe
AON,0.014036686187995083,0.1908747241269979,1.0096848153682667,1.2939029223441913e-05,0.07,5.63,9.59,25.205290827291247,0.923,1,8.912463768115943,Financials,Moderate
AOS,0.017337539361010037,0.2349080746075049,0.9942471542920761,0.00010810499058406757,6.65,13.55,6.61,22.977443330768704,1.177,1,4.938666666666666,Industrials,Safe
APA,0.027000318491739308,0.3634043921554722,0.9880869348162902,0.0009424546226775581,27.69,8.26,7.12,22.654040525908613,3.27,2,5.838636363636363,Energy,Risky
APD,0.015684562769317262,0.2770553142646904,1.0074857964579926,2.2819057857131574e-05,8.45,3.44,2.94,24.958996651333628,0.869,1,4.296296296296297,Materials,Safe
APH,0.018210358462340155,0.2978101582918376,1.0134286969522992,8.754166532290627e-05,8.34,4.77,4.9,25.065030533585475,1.258,2,4.803181818181818,Information Technology,Safe
APO,0.022157599060595924,0.317389757820753,1.0193733680733292,3.966865800485117e-05,2.4,9.8,11.65,25.135821639421845,1.647,2,8.912463768115943,Financials,Moderate
APTV,0.02476009516090101,0.3664942915151293,0.9912303530366767,0.0002202459085154992,4.35,4.56,3.97,23.410217608943793,1.785,1,4.690799999999999,Consumer Discretionary,Safe
